year,richness_by_year,andaman_records,nicobar_records,total_records
2005.0,1,1,0.0,1
2006.0,7,9,0.0,9
2007.0,7,9,0.0,9
2008.0,16,25,0.0,25
2009.0,1,1,0.0,1
2010.0,10,14,0.0,14
2011.0,16,23,2.0,25
2012.0,26,69,0.0,69
2013.0,34,98,2.0,100
2014.0,36,98,1.0,99
2015.0,38,71,38.0,109
2016.0,33,109,12.0,121
2017.0,53,335,13.0,348
2018.0,58,256,57.0,313
2019.0,63,505,125.0,630
2020.0,67,420,56.0,476
2021.0,66,591,154.0,745
2022.0,64,1138,160.0,1298
2023.0,64,920,207.0,1127
2024.0,62,1547,54.0,1601
2025.0,27,57,2.0,59
